vulnerability,frequency
CVE-2022-22965,245
CVE-2020-5421,228
CVE-2022-22950,185
CVE-2021-43980,152
CVE-2022-42003,144
CVE-2022-42004,144
CVE-2016-1000027,136
CVE-2021-24122,130
CVE-2022-22970,127
CVE-2022-22971,127
CVE-2022-22968,124
ds002,122
ds026,122
ksv001,119
ksv021,119
ksv030,119
ksv106,118
CVE-2020-36518,110
ksv012,101
ksv020,101
CVE-2021-42550,100
ksv014,92
ksv003,91
CVE-2022-25857,86
CVE-2022-38749,86
CVE-2022-38750,86
CVE-2022-38751,86
CVE-2022-38752,86
CVE-2022-41854,86
ksv011,81
ksv015,81
ksv016,81
ksv018,81
CVE-2022-27772,80
CVE-2020-25649,78
CVE-2020-9546,70
CVE-2020-9547,70
CVE-2020-9548,70
CVE-2020-10650,70
CVE-2020-10672,70
CVE-2020-10673,70
CVE-2020-10968,70
CVE-2020-10969,70
CVE-2020-11111,70
CVE-2020-11112,70
CVE-2020-11113,70
CVE-2020-11619,70
CVE-2020-11620,70
CVE-2020-14060,70
CVE-2020-14061,70
CVE-2020-14062,70
CVE-2020-14195,70
CVE-2020-24616,70
CVE-2020-24750,70
CVE-2020-35490,70
CVE-2020-35491,70
CVE-2020-35728,70
CVE-2020-36179,70
CVE-2020-36180,70
CVE-2020-36181,70
CVE-2020-36182,70
CVE-2020-36183,70
CVE-2020-36184,70
CVE-2020-36185,70
CVE-2020-36186,70
CVE-2020-36187,70
CVE-2020-36188,70
CVE-2020-36189,70
CVE-2021-20190,70
CVE-2020-8908,66
CVE-2023-24998,66
CVE-2020-17527,65
CVE-2021-25122,65
CVE-2021-25329,65
CVE-2021-29425,60
CVE-2022-24823,54
CVE-2021-21290,53
CVE-2021-21409,53
CVE-2020-15522,52
CVE-2020-13934,50
CVE-2020-13935,50
CVE-2020-10693,48
CVE-2020-5398,46
CVE-2018-10237,42
CVE-2020-9484,42
ksv013,40
CVE-2022-3171,39
CVE-2021-22060,38
CVE-2022-4492,38
CVE-2021-22569,37
CVE-2022-40151,32
CVE-2022-40152,32
CVE-2022-45143,31
ds005,30
CVE-2022-21363,30
CVE-2021-43116,29
CVE-2020-11612,29
CVE-2023-24162,29
CVE-2023-24163,29
CVE-2021-22096,28
CVE-2020-2934,28
CVE-2021-2471,28
CVE-2019-0199,27
ksv022,26
CVE-2021-22118,26
CVE-2022-25845,22
CVE-2019-14379,22
CVE-2019-14540,22
CVE-2019-14892,22
CVE-2019-14893,22
CVE-2019-16335,22
CVE-2019-16942,22
CVE-2019-16943,22
CVE-2019-17267,22
CVE-2019-17531,22
CVE-2019-20330,22
CVE-2020-8840,22
CVE-2019-12086,22
CVE-2019-14439,22
CVE-2019-12384,22
CVE-2019-12814,22
CVE-2019-20444,22
CVE-2019-20445,22
CVE-2019-10219,21
CVE-2019-17495,21
CVE-2018-1000873,19
CVE-2020-1938,19
CVE-2019-10072,19
CVE-2019-12418,19
CVE-2019-17563,19
CVE-2020-1935,19
CVE-2022-41966,17
CVE-2022-31684,17
CVE-2021-43797,16
CVE-2022-25647,16
CVE-2020-26945,16
CVE-2022-22978,16
CVE-2022-22976,16
CVE-2021-28170,15
CVE-2020-15250,15
ds001,14
CVE-2020-13956,14
CVE-2022-28111,14
CVE-2020-25638,13
CVE-2019-10202,12
CVE-2021-22044,11
CVE-2021-31684,10
CVE-2021-27568,10
CVE-2018-19360,10
CVE-2018-19361,10
CVE-2018-19362,10
CVE-2019-3795,10
CVE-2019-10086,10
CVE-2022-46166,10
CVE-2021-29505,10
CVE-2021-39139,10
CVE-2021-39141,10
CVE-2021-39144,10
CVE-2021-39145,10
CVE-2021-39146,10
CVE-2021-39147,10
CVE-2021-39148,10
CVE-2021-39149,10
CVE-2021-39150,10
CVE-2021-39151,10
CVE-2021-39152,10
CVE-2021-39153,10
CVE-2021-39154,10
CVE-2021-43859,10
CVE-2021-39140,10
CVE-2022-26336,10
avd-azu-0011,9
CVE-2022-40149,9
CVE-2022-40150,9
CVE-2022-45685,9
CVE-2022-45693,9
CVE-2021-33813,9
ksv023,9
CVE-2019-16869,8
CVE-2019-0232,8
CVE-2019-0221,8
CVE-2021-44667,8
CVE-2019-10172,8
CVE-2016-3720,8
CVE-2021-21295,8
CVE-2021-22112,8
CVE-2022-22980,7
CVE-2019-17571,7
CVE-2022-23305,7
CVE-2021-4104,7
CVE-2022-23302,7
CVE-2022-23307,7
CVE-2020-9488,7
CVE-2022-24329,7
CVE-2021-22144,6
CVE-2022-31690,6
CVE-2021-21342,6
CVE-2021-21344,6
CVE-2021-21345,6
CVE-2021-21346,6
CVE-2021-21347,6
CVE-2021-21350,6
CVE-2021-21351,6
CVE-2020-26258,6
CVE-2021-21341,6
CVE-2021-21343,6
CVE-2021-21348,6
CVE-2021-21349,6
CVE-2020-26259,6
CVE-2021-35515,6
CVE-2021-35516,6
CVE-2021-35517,6
CVE-2021-36090,6
ksv111,5
CVE-2021-22053,5
CVE-2020-17521,4
CVE-2020-10683,4
CVE-2018-1000632,4
CVE-2019-3797,4
CVE-2019-3802,4
CVE-2018-20200,4
CVE-2019-7611,4
CVE-2019-7614,4
CVE-2020-7021,4
CVE-2021-22135,4
CVE-2020-7020,4
CVE-2014-0114,4
CVE-2015-7501,4
CVE-2015-6420,4
CVE-2022-31692,4
CVE-2020-26217,4
CVE-2020-5408,4
CVE-2019-12415,4
ds025,4
avd-aws-0124,4
ksv041,3
CVE-2017-8028,3
ksv049,2
CVE-2022-37599,2
CVE-2022-37603,2
avd-aws-0178,2
ds013,2
ds009,2
CVE-2021-22137,2
CVE-2019-11269,2
CVE-2019-3778,2
CVE-2022-3509,2
CVE-2022-3510,2
CVE-2021-22145,2
CVE-2021-22147,2
CVE-2022-4348,2
CVE-2019-11284,2
CVE-2020-5404,2
CVE-2022-41881,2
CVE-2021-37136,2
CVE-2021-37137,2
CVE-2021-23926,2
CVE-2020-29582,2
avd-ksv-0109,2
avd-aws-0028,2
avd-aws-0131,2
avd-azu-0008,1
CVE-2022-31042,1
CVE-2022-31043,1
CVE-2022-31090,1
CVE-2022-31091,1
CVE-2023-27560,1
CVE-2022-38900,1
CVE-2022-46175,1
CVE-2022-37601,1
CVE-2022-3517,1
CVE-2021-3803,1
CVE-2022-25858,1
ksv017,1
CVE-2018-11307,1
CVE-2018-14718,1
CVE-2018-14719,1
CVE-2018-14720,1
CVE-2018-14721,1
CVE-2018-7489,1
CVE-2018-12022,1
CVE-2018-12023,1
CVE-2018-1270,1
CVE-2018-1275,1
CVE-2018-11040,1
CVE-2018-1272,1
CVE-2018-15756,1
CVE-2018-11039,1
CVE-2018-1257,1
CVE-2018-1271,1
CVE-2022-32065,1
CVE-2019-10768,1
CVE-2020-7676,1
CVE-2022-25844,1
CVE-2022-25869,1
CVE-2021-43138,1
CVE-2016-1000227,1
CVE-2019-17592,1
CVE-2020-11022,1
CVE-2020-11023,1
CVE-2020-8203,1
CVE-2021-23337,1
CVE-2020-28500,1
CVE-2021-44906,1
CVE-2020-7598,1
CVE-2022-24785,1
CVE-2022-31129,1
CVE-2020-8911,1
CVE-2020-8912,1
CVE-2019-3826,1
ksv047,1
ksv009,1
ksv010,1
ksv024,1
ds022,1
ds017,1
avd-aws-0053,1
avd-aws-0104,1
avd-aws-0107,1
CVE-2019-7164,1
CVE-2019-7548,1
CVE-2022-29361,1
CVE-2019-14322,1
CVE-2019-14806,1
CVE-2023-25577,1
CVE-2016-10516,1
CVE-2023-23934,1
CVE-2017-18361,1
CVE-2018-18074,1
CVE-2022-31116,1
CVE-2022-31117,1
CVE-2020-14001,1
CVE-2021-28834,1
